ID;Клиент;Телефон клиента;Занятие;Направление;Преподаватель;Начало занятия;Статус;Оплачено;Стоимость, руб.;Комментарий;Дата создания записи
1;Иванова Анна Сергеевна;+79011112233;Хип-хоп для начинающих;Хип-хоп;Кузнецов Алексей;08.09.2026 19:00;Завершена;Да;800,00;;31.08.2026 16:48
2;Сидорова Мария Игоревна;+79033334455;Хип-хоп для начинающих;Хип-хоп;Кузнецов Алексей;08.09.2026 19:00;Завершена;Да;800,00;Первое занятие в студии;01.09.2026 16:48
3;Петров Дмитрий Алексеевич;+79022223344;Сальса: базовый курс;Сальса;Орлова Дарья;11.09.2026 20:00;Завершена;Да;1000,00;;05.09.2026 16:48
4;Смирнова Екатерина Павловна;+79055556677;Бачата для пар;Бачата;Орлова Дарья;14.09.2026 19:30;Завершена;Да;1100,00;Пришла с партнёром;08.09.2026 16:48
5;Морозова Ольга Андреевна;+79077778899;Классический балет для взрослых;Балет;Соколова Елена;17.09.2026 18:00;Завершена;Да;1200,00;;11.09.2026 16:48
6;Козлов Артём Николаевич;+79044445566;Сальса: базовый курс;Сальса;Орлова Дарья;11.09.2026 20:00;Отменена;Нет;1000,00;Отмена: заболел;06.09.2026 16:48
7;Волков Максим Денисович;+79088889900;Бачата для пар;Бачата;Орлова Дарья;14.09.2026 19:30;Отменена;Нет;1100,00;Клиент передумал;09.09.2026 16:48
8;Новиков Илья Владимирович;+79066667788;Хип-хоп для подростков;Хип-хоп;Кузнецов Алексей;25.09.2026 17:00;Отменена;Нет;700,00;Отмена по просьбе родителей;14.09.2026 16:48
9;Иванова Анна Сергеевна;+79011112233;Контемпорари: импровизация;Контемпорари;Морозов Игорь;22.09.2026 19:00;Подтверждена;Да;1100,00;Нужна разминка для колена;15.09.2026 16:48
10;Петров Дмитрий Алексеевич;+79022223344;Хип-хоп: продвинутый уровень;Хип-хоп;Кузнецов Алексей;24.09.2026 19:00;Подтверждена;Да;1000,00;;16.09.2026 16:48
11;Козлов Артём Николаевич;+79044445566;Хип-хоп: продвинутый уровень;Хип-хоп;Кузнецов Алексей;24.09.2026 19:00;Подтверждена;Да;1000,00;;16.09.2026 16:48
12;Волков Максим Денисович;+79088889900;Хип-хоп: продвинутый уровень;Хип-хоп;Кузнецов Алексей;24.09.2026 19:00;Подтверждена;Да;1000,00;Занимается хип-хопом второй год;17.09.2026 16:48
13;Сидорова Мария Игоревна;+79033334455;Латина: соло;Латина;Петрова Ирина;23.09.2026 20:00;Создана;Нет;900,00;;18.09.2026 16:48
14;Смирнова Екатерина Павловна;+79055556677;Джаз-фанк;Джаз-фанк;Морозов Игорь;27.09.2026 20:00;Создана;Нет;950,00;Оплата на месте;18.09.2026 16:48
15;Новиков Илья Владимирович;+79066667788;Хип-хоп для подростков;Хип-хоп;Кузнецов Алексей;25.09.2026 17:00;Создана;Нет;700,00;Повторная запись после отмены;19.09.2026 16:48
16;Морозова Ольга Андреевна;+79077778899;Контемпорари: импровизация;Контемпорари;Морозов Игорь;22.09.2026 19:00;Создана;Нет;1100,00;Хочет попробовать пробное занятие;19.09.2026 16:48
